"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","98","Создание заказа без авторизации","tests","2026-02-26","passed","2026-02-26","TestCreateOrder","test_orders","",""
"","92","Создать пользователя без одного из обязательных полей","tests","2026-02-26","passed","2026-02-26","TestCreateUser","test_register","",""
"","178","Вход под существующим пользователем","tests","2026-02-26","passed","2026-02-26","TestLoginUser","test_login","",""
"","3064","Создание заказа с авторизацией","tests","2026-02-26","passed","2026-02-26","TestCreateOrder","test_orders","",""
"","269","Создать пользователя, который уже зарегистрирован","tests","2026-02-26","passed","2026-02-26","TestCreateUser","test_register","",""
"","169","Создать уникального пользователя","tests","2026-02-26","passed","2026-02-26","TestCreateUser","test_register","",""
"","3045","Создание заказа с ингредиентами (проверка тела ответа)","tests","2026-02-26","passed","2026-02-26","TestCreateOrder","test_orders","",""
"","98","Вход с неверным логином и паролем","tests","2026-02-26","passed","2026-02-26","TestLoginUser","test_login","",""
"","93","Создать пользователя без одного из обязательных полей","tests","2026-02-26","passed","2026-02-26","TestCreateUser","test_register","",""
"","94","Создать пользователя без одного из обязательных полей","tests","2026-02-26","passed","2026-02-26","TestCreateUser","test_register","",""
"","93","Создание заказа с неверным хешем ингредиентов","tests","2026-02-26","passed","2026-02-26","TestCreateOrder","test_orders","",""
"","93","Создание заказа без ингредиентов","tests","2026-02-26","passed","2026-02-26","TestCreateOrder","test_orders","",""
